id,category,board link,synset,approved,mass estimate ig2,mass estimate gpt3,mass estimate chatgpt4,mass estimate gpt4,old annotated mass,new annotated mass,mass (auto),description,approval comments
278,tinsel,tinsel,tinsel.n.02,1,0.200,0.010,0.020,0.050,0.200,,0.027,,
279,christmas_tree,christmas_tree,christmas_tree.n.05,1,18.299,20.000,30.000,30.000,18.000,,26.667,,
280,christmas_tree_decorated,christmas_tree_decorated,christmas_tree.n.05,1,18.299,20.000,32.000,35.000,18.597,,29.000,,
281,fire_alarm,fire_alarm,fire_alarm.n.02,1,0.252,0.300,0.200,0.500,0.252,,0.333,,
282,comb,comb,comb.n.01,1,0.010,0.050,0.020,0.030,0.010,,0.033,,
283,dental_floss,dental_floss,dental_floss.n.01,1,0.020,0.010,0.010,0.020,0.020,,0.013,,
284,duffel_bag,duffel_bag,duffel_bag.n.01,1,0.530,2.500,7.500,1.000,0.530,,3.667,,
285,facsimile,facsimile,facsimile.n.02,1,2.395,15.000,8.000,25.000,2.395,,16.000,,
286,gingerbread,gingerbread,gingerbread.n.01,1,0.050,0.500,0.045,0.500,0.050,,0.348,,
287,lipstick,lipstick,lipstick.n.01,1,0.025,0.020,0.030,0.030,0.025,,0.027,,
288,lollipop,lollipop,lollipop.n.02,1,0.030,0.050,0.028,0.050,0.030,,0.043,,
289,modem,modem,modem.n.01,1,0.635,0.500,0.400,0.500,0.635,,0.467,,
290,printer,printer,printer.n.03,1,9.000,20.000,7.200,22.500,9.000,,16.567,,
291,scanner,scanner,scanner.n.02,1,1.520,5.000,5.500,2.500,1.520,,4.333,,
292,stocking,stocking,stocking.n.01,1,0.130,0.100,0.050,0.050,0.130,,0.067,,
293,watch,watch,watch.n.01,1,0.045,0.050,0.080,0.100,0.045,,0.077,,
294,carton,carton,carton.n.02,1,1.000,0.200,0.300,0.025,1.000,,0.175,,
295,briefcase,briefcase,briefcase.n.01,1,1.500,2.000,2.500,2.000,1.500,,2.167,,
296,tea_bag,tea_bag,tea_bag.n.01,1,0.017,0.005,0.002,0.002,0.020,,0.003,,
297,shoulder_bag,shoulder_bag,shoulder_bag.n.01,1,1.000,0.500,1.000,0.500,1.000,,0.667,,
298,paper_bag,paper_bag,sack.n.01,1,0.050,0.050,0.020,0.050,0.050,,0.040,,
299,backpack,backpack,backpack.n.01,1,1.500,1.000,1.000,1.000,1.500,,1.000,,
300,eames_chair,eames_chair,eames_chair.n.01,1,11.287,10.000,8.000,7.000,11.287,,8.333,,
301,shower_stall,shower_stall,shower_stall.n.01,1,10.040,150.000,90.000,80.000,10.040,,106.667,,
302,soap_dispenser,soap_dispenser,soap_dispenser.n.01,1,0.400,0.500,0.400,0.500,0.400,,0.467,,
303,toilet_paper,toilet_paper,toilet_tissue.n.01,1,0.100,0.100,0.227,0.150,0.100,,0.159,,
304,room_light,room_light,room_light.n.01,1,0.301,1.000,2.500,2.000,0.301,,1.833,Light that's hanging on a cable from the ceiling,
305,architectural_plan,architectural_plan,plan.n.03,1,0.472,0.100,0.050,0.100,0.472,,0.083,,
306,urinal,urinal,urinal.n.01,1,93.198,50.000,25.000,30.000,93.198,,35.000,,
307,bicycle,bicycle,bicycle.n.01,1,"1,204.000",10.000,15.000,15.000,20.000,,13.333,,
308,square_light,square_light,room_light.n.01,1,0.301,1.000,2.500,0.800,0.301,,1.433,Square light panels attached to the ceiling,
309,downlight,downlight,room_light.n.01,1,0.301,1.000,1.000,1.000,0.301,,1.000,"Round spot lights, possibly recessed, in the ceiling",
310,toilet_paper_dispenser,toilet_paper_dispenser,toilet_paper_dispenser.n.01,1,0.400,0.500,1.500,2.000,0.400,,1.333,More public restroom kind of toilet paper dispenser,
311,vending_machine,vending_machine,vending_machine.n.01,1,2.764,300.000,400.000,275.000,7.000,,325.000,,
312,desktop_computer,desktop_computer,desktop_computer.n.01,1,1.712,5.000,7.000,7.000,10.000,,6.333,,
313,magazine_rack,magazine_rack,magazine_rack.n.01,1,5.595,2.000,5.000,2.500,2.000,,3.167,,
314,motorcycle,motorcycle,motorcycle.n.01,1,"1,204.000",200.000,180.000,200.000,185.000,,193.333,,
315,locker,locker,cabinet.n.03,1,10.040,50.000,25.000,20.000,15.000,,31.667,,
316,photocopier,photocopier,photocopier.n.01,1,2.395,100.000,100.000,250.000,8.000,,150.000,,
317,shredder,shredder,shredder.n.01,1,8.490,10.000,8.000,15.000,18.000,,11.000,,
318,conference_table,conference_table,conference_table.n.01,1,23.608,100.000,70.000,115.000,25.000,,95.000,,
319,electric_mixer,electric_mixer,electric_mixer.n.01,1,2.703,3.000,2.000,2.500,10.000,,2.500,,
320,paper_towel_dispenser,paper_towel_dispenser,paper_towel_dispenser.n.01,1,0.400,0.500,3.000,4.000,0.500,,2.500,,
321,wall_mounted_shelf,wall_mounted_shelf,shelf.n.01,1,11.090,5.000,4.000,4.500,7.000,,4.500,,
322,jug,jug,pitcher.n.02,1,1.500,1.000,1.000,1.000,0.500,,1.000,,
323,commercial_kitchen_sink,commercial_kitchen_sink,sink.n.01,1,9.457,50.000,50.000,50.000,9.457,,50.000,,
324,commercial_kitchen_table,commercial_kitchen_table,countertop.n.01,1,23.608,100.000,60.000,70.000,23.608,,76.667,,
325,room_ventilator,room_ventilator,ventilator.n.01,1,8.490,2.000,7.000,3.500,8.490,,4.167,,
326,deep_fryer,deep_fryer,deep_fryer.n.01,1,2.000,5.000,15.000,4.000,3.000,,8.000,,
327,metal_bottom_cabinet,metal_bottom_cabinet,cabinet.n.01,1,22.441,30.000,30.000,50.000,22.441,,36.667,,
328,gravy_boat,gravy_boat,gravy_boat.n.01,1,1.788,0.500,0.500,0.300,1.000,,0.433,,
329,croissant,croissant,crescent_roll.n.01,1,0.105,0.100,0.065,0.065,0.105,,0.077,,
330,flower,flower,flower.n.02,1,0.376,0.050,0.100,0.020,0.376,,0.057,S: (n) flower (a plant cultivated for its blooms or blossoms),
331,electric_switch,electric_switch,switch.n.01,1,8.490,0.100,0.200,0.100,0.490,,0.133,,
332,pillar,pillar,column.n.07,1,5.595,500.000,"1,000.000",900.000,15.000,,800.000,"S: (n) column, pillar ((architecture) a tall vertical cylindrical structure standing upright and used to support a structure)",
333,chess_set,chess_set,chess_set.n.01,1,0.150,1.000,2.500,1.500,3.000,,1.667,S: (n) chess set (checkerboard and a set of 32 pieces used to play chess),
334,cloche,cloche,cloche.n.01,1,0.408,2.000,1.000,1.500,1.000,,1.500,https://en.wikipedia.org/wiki/Cloche_(tableware) covers plates and keeps them warm,
335,wall_mounted_soap_dispenser,wall_mounted_soap_dispenser,soap_dispenser.n.01,1,0.400,0.500,1.000,0.600,1.000,,0.700,,
336,cleaver,cleaver,cleaver.n.01,1,0.164,1.000,1.000,0.500,1.164,,0.833,,
337,can_of_corn,can_of_corn,can__of__corn.n.01,1,0.600,0.400,0.425,0.400,1.000,,0.408,,
338,booth,booth,booth.n.01,1,23.608,50.000,100.000,50.000,40.000,,66.667,S: (n) booth (a table (in a restaurant or bar) surrounded by two high-backed benches),
339,boiler,boiler,kettle.n.01,1,0.247,10.000,10.000,7.000,2.000,,9.000,,
340,food_slicer,food_slicer,slicer.n.02,1,2.764,5.000,7.000,5.000,2.000,,5.667,,a machine for cutting; usually with a revolving blade?
341,fire_extinguisher,fire_extinguisher,fire_extinguisher.n.01,1,8.490,10.000,9.000,3.000,3.000,,7.333,,
342,jukebox,jukebox,jukebox.n.01,1,2.764,300.000,100.000,120.000,2.764,,173.333,"S: (n) jukebox, nickelodeon (a cabinet containing an automatic record player; records are played by inserting a coin)",
343,pay_phone,pay_phone,pay-phone.n.01,1,9.253,20.000,27.000,300.000,9.253,,115.667,"S: (n) pay-phone, pay-station (a coin-operated telephone)",
344,menu,menu,menu.n.01,1,0.200,0.100,0.050,0.100,0.200,,0.083,"S: (n) menu, bill of fare, card, carte du jour, carte (a list of dishes available at a restaurant) ""the menu was in French""",
345,pepper_shaker,pepper_shaker,pepper__shaker.n.01,1,38.432,0.100,0.150,0.200,0.200,,0.150,"S: (n) pepper shaker, pepper box, pepper pot (a shaker with a perforated top for sprinkling ground pepper)",
346,salt_shaker,salt_shaker,salt__shaker.n.01,1,38.432,0.100,0.150,0.300,0.200,,0.183,"S: (n) saltshaker, salt shaker (a shaker with a perforated top for sprinkling salt)",
347,bar,bar,bar.n.02,1,23.608,200.000,"1,000.000",50.000,8.000,,416.667,"S: (n) bar (a counter where you can obtain food or drink) ""he bought a hot dog and a coke at the bar""",
348,chandelier,chandelier,chandelier.n.01,1,93.198,15.000,15.000,7.000,10.000,,12.333,,
349,popcorn_machine,popcorn_machine,popper.n.03,1,1.862,10.000,20.000,15.000,10.000,,15.000,S: (n) popcorn (small kernels of corn exploded by heat),
350,beer_tap,beer_tap,beer_tap.n.01,1,50.844,1.000,2.500,1.500,2.000,,1.667,,
351,ceiling_air_conditioner,ceiling_air_conditioner,air_conditioner.n.01,1,8.490,50.000,20.000,25.000,8.490,,31.667,centralized AC system attached to the ceiling,
352,phonograph_record,phonograph_record,phonograph_record.n.01,1,8.490,0.100,0.380,0.200,8.490,,0.227,"S: (n) phonograph record, phonograph recording, record, disk, disc, platter (sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove)",
353,hanging_plant,hanging_plant,pot_plant.n.01,1,4.536,1.000,2.000,5.000,4.536,,2.667,,
354,room_divider,room_divider,screen.n.09,1,10.040,10.000,20.000,10.000,10.040,,13.333,,approved by cem
356,cake_stand,cake_stand,base.n.08,1,5.595,2.000,1.500,2.500,5.595,,2.000,,
357,skeletal_frame,skeletal_frame,skeleton.n.04,1,9.747,50.000,50.000,15.000,10.000,,38.333,"(the internal supporting structure that gives an artifact its shape) ""the building has a steel skeleton""",
358,ottoman,ottoman,footstool.n.01,1,6.167,5.000,15.000,7.000,6.167,,9.000,(a low seat or a stool to rest the feet of a seated person),
359,key_chain,key_chain,key.n.01,1,8.490,0.100,0.050,0.050,0.300,,0.067,,
360,arched_window,arched_window,window.n.01,1,29.257,20.000,40.000,30.000,,,30.000,,
361,curtain,curtain,curtain.n.01,1,9.476,1.000,2.000,1.000,10.000,,1.333,,
362,handle,handle,handle.n.01,1,2.380,0.100,0.200,0.200,2.000,,0.167,,
363,l_shaped_handle,l_shaped_handle,handle.n.01,1,2.380,0.100,0.250,0.500,2.000,,0.283,"corner handle, can be used vertically too",
364,wall_mounted_light,wall_mounted_light,room_light.n.01,1,0.301,2.000,2.000,2.000,0.300,,2.000,,
365,pasta_server,pasta_server,server.n.04,1,1.776,0.100,0.100,0.100,1.776,,0.100,,
366,handset,handset,handset.n.01,1,9.253,0.300,0.300,0.200,0.700,,0.267,,
367,potato_masher,potato_masher,masher.n.02,1,1.776,0.200,0.200,0.250,1.776,,0.217,,
368,skimmer,skimmer,skimmer.n.02,1,1.862,0.200,0.100,0.100,1.862,,0.133,,
369,whisk,whisk,whisk.n.01,1,2.703,0.100,0.100,0.100,1.500,,0.100,,
370,bunch_of_bananas,bunch_of_bananas,banana.n.02,1,0.120,1.000,1.250,1.500,1.000,,1.250,,
371,wok,wok,wok.n.01,1,1.750,3.000,2.000,1.500,2.000,,2.167,,
372,ceiling_rack,ceiling_rack,ceiling_rack.n.01,1,2.926,10.000,10.000,15.000,2.926,,11.667,ceiling rack to hang kitchware,
373,arbor,arbor,arbor.n.03,1,9.747,50.000,80.000,100.000,1.000,,76.667,,
374,binder,binder,binder.n.03,1,0.408,0.500,1.000,1.000,0.408,,0.833,"S: (n) binder, ring-binder (holds loose papers or magazines)",
375,freezer,freezer,deep-freeze.n.02,1,92.986,100.000,70.000,65.000,92.986,,78.333,"S: (n) deep-freeze, Deepfreeze, deep freezer, freezer (electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time)",
376,canister,canister,canister.n.02,1,38.432,1.000,1.000,1.000,0.500,,1.000,"S: (n) canister, cannister, tin (metal container for storing dry foods such as tea or flour)",
377,shopping_basket,shopping_basket,shopping_basket.n.01,1,1.089,0.500,0.500,0.700,1.089,,0.567,S: (n) shopping basket (a handbasket used to carry goods while shopping),
378,kebab,kebab,kabob.n.01,1,0.383,0.200,0.200,0.150,0.500,,0.183,"S: (n) kabob, kebab, shish kebab (cubes of meat marinated and cooked on a skewer usually with vegetables)",
379,bag_of_cocoa,bag_of_cocoa,bag__of__cocoa.n.01,1,0.610,1.000,0.500,1.000,0.610,,0.833,S: (n) cocoa (powder of ground roasted cacao beans with most of the fat removed),
380,paper_cup,paper_cup,dixie_cup.n.01,1,0.454,0.010,0.010,0.004,0.200,,0.008,"S: (n) Dixie cup, paper cup (a disposable cup made of paper; for holding drinks)",
381,box_of_granola_bars,box_of_granola_bars,box__of__granola_bars.n.01,1,0.052,0.500,0.500,0.500,0.100,,0.500,,
382,box_of_rice,box_of_rice,box__of__rice.n.01,1,1.000,1.000,1.000,1.000,5.000,,1.000,,
383,tissue_dispenser,tissue_dispenser,tissue_dispenser.n.01,1,0.100,0.500,0.300,0.750,0.500,,0.517,"S: (n) napkin, table napkin, serviette (a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing)",
384,bottle_of_water,bottle_of_water,bottle__of__water.n.01,1,0.633,0.500,1.000,1.000,0.630,,0.833,S: (n) water bottle (a bottle for holding water),
385,security_camera,security_camera,security_camera.n.01,1,3.664,2.000,1.500,0.400,3.664,,1.300,"Security camera, no subsynset matched security camera",
386,open_air_cooler,open_air_cooler,cooler.n.01,1,92.986,50.000,35.000,22.000,92.986,,35.667,"Is a type of fridge but doesn't go that low in temperature, doesn't have doors",
387,umbrella_rack,umbrella_rack,umbrella_rack.n.01,1,2.926,2.000,10.000,2.000,2.926,,4.667,Rack that has holes in it so that one can pu their umbrella while going into a store,
388,snack_rack,snack_rack,snack_rack.n.01,1,2.926,10.000,10.000,7.500,2.926,,9.167,Rack that's near the cashier that miscallenous stuff like snacks are placed on,
389,oden_cooker,oden_cooker,oden_cooker.n.01,1,1.862,5.000,3.000,4.000,1.862,,4.000,,
390,crock_pot,crock_pot,crock_pot.n.01,1,1.862,5.000,3.000,4.500,1.862,,4.167,S: (n) Crock Pot (an electric cooker that maintains a relatively low temperature),
391,greenery,greenery,greenery.n.01,1,0.376,0.500,0.100,0.100,0.376,,0.233,,
392,box_of_beer,box_of_beer,box__of__beer.n.01,1,0.700,6.000,7.000,9.000,6.000,,7.333,,
393,coaster,coaster,coaster.n.03,1,0.408,0.100,0.050,0.100,0.408,,0.083,,
394,wineglass,wineglass,wineglass.n.01,1,0.241,0.200,0.200,0.200,0.241,,0.200,,
395,credit_card_terminal,credit_card_terminal,cash_register.n.01,1,2.779,1.000,1.000,2.000,2.779,,1.333,A Pos machine,
396,cash_register,cash_register,cash_register.n.01,1,2.779,20.000,10.000,10.000,2.779,,13.333,"S: (n) cash register, register (a cashbox with an adding machine to register transactions; used in shops to add up the bill)",
397,showerhead,showerhead,showerhead.n.01,1,14.129,0.500,0.500,0.500,11.000,,0.500,,
398,bush,bush,scrub.n.01,1,0.002,50.000,15.000,50.000,,,38.333,,
399,hand_dryer,hand_dryer,hand_dryer.n.01,1,70.519,2.000,2.500,10.000,5.000,,4.833,,
400,vase,vase,vase.n.01,1,8.000,0.500,1.000,1.500,3.000,,1.000,S: (n) vase (an open jar of glass or porcelain used as an ornament or to hold flowers),
401,window_blind,window_blind,window_blind.n.01,1,0.408,1.000,1.500,1.500,1.000,,1.333,,
402,flat_bench,flat_bench,flat_bench.n.02,1,13.898,30.000,15.000,20.000,13.898,,21.667,S: (n) flat bench (a bench on which a weightlifter lies to do exercises),
403,free_weight,free_weight,weight.n.02,1,15.432,5.000,10.000,10.000,8.000,,8.333,"S: (n) weight, free weight, exercising weight (sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms)",
404,free_weight_rack,free_weight_rack,free_weight_rack.n.01,1,2.926,20.000,20.000,30.000,2.926,,23.333,The rack that has all the free weights on it,
405,ceiling_fan,ceiling_fan,ceiling_fan.n.01,1,8.490,5.000,7.000,7.000,8.490,,6.333,,
406,weight_bar,weight_bar,bar.n.13,1,5.595,5.000,10.000,10.000,5.595,,8.333,S: (n) bar (a horizontal rod that serves as a support for gymnasts as they perform exercises),
407,soda_cup,soda_cup,dixie_cup.n.01,1,0.454,0.100,0.020,0.006,0.200,,0.042,used in fast food chain,
408,exercise_bike,exercise_bike,exercise_bike.n.01,1,73.482,50.000,35.000,35.000,73.482,,40.000,"S: (n) exercise bike, exercycle (an exercise device resembling a stationary bike)",
409,elliptical_machine,elliptical_machine,exercise_bike.n.01,1,73.482,50.000,80.000,75.000,73.482,,68.333,Gym equipment that resembels a treadmill -- google,CHECK THIS EXACT WORD MATCH BUT NOT IN WORDNET
410,spotlight,spotlight,spotlight.n.02,1,0.301,2.000,1.000,2.000,2.000,,1.667,"S: (n) spotlight, spot (a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer)",
411,hot_tub,hot_tub,hot_tub.n.02,1,57.606,500.000,200.000,250.000,57.606,,316.667,S: (n) hot tub (a very large tub (large enough for more than one bather) filled with hot water) jacuzzi,
412,water_glass,water_glass,water_glass.n.02,1,0.241,0.200,0.200,0.300,0.800,,0.233,,
413,dessert_stand,dessert_stand,base.n.08,1,5.595,1.000,1.500,2.000,2.000,,1.500,,
414,turnstile,turnstile,turnstile.n.02,1,26.308,200.000,100.000,120.000,20.000,,140.000,turnstile (a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering),
415,checkout_counter,checkout_counter,checkout.n.03,1,23.608,100.000,50.000,100.000,21.000,,83.333,,
416,box_of_candy,box_of_candy,box__of__candy.n.01,1,0.029,0.500,0.500,0.300,1.000,,0.433,,
417,candle_holder,candle_holder,candlestick.n.01,1,0.454,0.100,1.000,0.500,0.454,,0.533,,
418,bottle_of_whiskey,bottle_of_whiskey,bottle__of__whiskey.n.01,1,0.633,1.000,1.500,1.500,1.000,,1.333,,
419,bouquet,bouquet,bouquet.n.01,1,0.150,0.500,0.750,1.000,1.000,,0.750,,
420,reed_diffuser,reed_diffuser,reed_diffuser.n.01,1,0.500,0.500,1.000,0.500,0.500,,0.667,,
421,massage_bed,massage_bed,bed.n.01,1,57.125,150.000,100.000,100.000,15.000,,116.667,Not in the Wordnet but specifically the word for such beds is called massage bed/table,
422,wine_fridge,wine_fridge,electric_refrigerator.n.01,1,92.986,50.000,50.000,30.000,,,43.333,,
423,sauna_heater,sauna_heater,sauna_heater.n.01,1,3.969,20.000,10.000,8.000,3.969,,12.667,,
424,beer_glass,beer_glass,beer_glass.n.01,1,0.400,0.300,0.400,0.250,0.400,,0.317,,
425,jam_dispenser,jam_dispenser,jam__dispenser.n.01,1,0.345,1.000,2.000,1.000,0.345,,1.333,,
426,soap_dish,soap_dish,soap_dish.n.01,1,93.198,0.100,0.200,0.200,93.198,,0.167,S: (n) soap dish (a bathroom or kitchen fixture for holding a bar of soap),
427,grocery_shelf,grocery_shelf,shelf.n.01,1,11.090,10.000,30.000,30.000,11.090,,23.333,,
428,grocery_cupboard,grocery_cupboard,cupboard.n.01,1,10.040,50.000,20.000,40.000,10.040,,36.667,,
429,sauna_bench,sauna_bench,bench.n.01,1,13.898,50.000,30.000,30.000,13.898,,36.667,Idk what to do with this,
430,statue,statue,statue.n.01,1,0.900,"1,000.000",100.000,200.000,3.000,,433.333,S: (n) statue (a sculpture representing a human or animal),
431,hammam_bench,hammam_bench,bench.n.01,1,13.898,50.000,30.000,40.000,13.898,,40.000,Idk what to do with this,
432,bag_of_rice,bag_of_rice,bag__of__rice.n.01,1,1.000,5.000,1.000,5.000,5.000,,3.667,,
433,carton_of_eggs,carton_of_eggs,carton__of__eggs.n.01,1,0.765,1.500,0.600,0.600,2.000,,0.900,,
434,mango,mango,mango.n.02,1,0.438,0.500,0.200,0.200,0.438,,0.300,,
435,microscope,microscope,compound_microscope.n.01,1,3.190,1.000,6.000,7.000,3.190,,4.667,,
436,test_tube_rack,test_tube_rack,test_tube_rack.n.01,1,2.926,0.500,0.500,0.500,1.000,,0.500,,
437,test_tube,test_tube,test_tube.n.01,1,3.521,0.050,0.050,0.050,0.100,,0.050,,
438,gate,gate,gate.n.01,1,26.308,100.000,30.000,50.000,,,60.000,,
439,plant_stem,plant_stem,cutting.n.02,1,0.376,0.100,0.050,0.020,0.376,,0.057,,
440,garden_light,garden_light,floor_lamp.n.01,1,4.296,10.000,2.000,2.500,2.000,,4.833,floor-mounted standing garden lamps,
441,fire_sprinkler,fire_sprinkler,fire_sprinkler.n.01,1,8.490,1.000,1.000,1.500,2.000,,1.167,,
442,blackboard,blackboard,blackboard.n.01,1,2.309,20.000,10.000,7.000,3.000,,12.333,,
443,blackboard_eraser,blackboard_eraser,blackboard_eraser.n.01,1,0.030,0.100,0.050,0.100,0.030,,0.083,,
444,round_bottom_flask,round_bottom_flask,round-bottom_flask.n.01,1,0.633,0.500,0.500,0.500,0.633,,0.500,,
445,buret,buret,burette.n.01,1,3.642,0.500,0.100,0.500,3.642,,0.367,,
446,candy_dispenser_shelf,candy_dispenser_shelf,candy_dispenser_shelf.n.01,1,0.400,2.000,15.000,5.000,1.000,,7.333,,
447,dry_food_dispenser_shelf,dry_food_dispenser_shelf,dry_food_dispenser_shelf.n.01,1,0.400,2.000,15.000,8.000,1.000,,8.333,,
448,drinking_fountain,drinking_fountain,drinking_fountain.n.02,1,10.040,100.000,50.000,40.000,10.040,,63.333,,
449,bottle_of_pop,bottle_of_pop,bottle__of__pop.n.01,1,0.633,0.500,1.000,1.200,0.633,,0.900,,
450,can_of_soda,can_of_soda,can__of__soda.n.01,1,38.432,0.350,0.355,0.355,1.300,,0.353,,
451,projector,projector,projector.n.02,1,3.190,5.000,3.000,1.800,3.190,,3.267,,
452,ceiling_mounted_projector,ceiling_mounted_projector,projector.n.02,1,3.190,5.000,3.000,5.000,3.190,,4.333,,
453,table_runner,table_runner,tablecloth.n.01,1,2.404,0.500,0.200,0.250,1.000,,0.317,,
454,durian,durian,durian.n.02,1,0.438,2.000,2.000,5.000,0.438,,3.000,,
455,alarm_clock,alarm_clock,alarm_clock.n.01,1,10.945,0.500,0.500,0.500,2.000,,0.500,,
456,place_mat,place_mat,place_mat.n.01,1,0.331,0.100,0.100,0.200,1.000,,0.133,,
457,bidet,bidet,bidet.n.01,1,5.668,20.000,25.000,25.000,5.668,,23.333,,
458,wafer,wafer,wafer.n.02,1,0.052,0.010,0.010,0.006,0.500,,0.009,,
459,chocolate_bar,chocolate_bar,chocolate_bar.n.01,1,0.800,0.100,0.100,0.100,0.800,,0.100,,
460,graduated_cylinder,graduated_cylinder,graduated_cylinder.n.01,1,3.642,0.500,0.200,0.400,3.642,,0.367,,
461,box_of_oatmeal,box_of_oatmeal,box__of__oatmeal.n.01,1,0.350,1.000,0.500,0.500,0.562,,0.667,,
462,display_case,display_case,case.n.20,1,38.432,50.000,40.000,50.000,,,46.667,,
463,pack_of_cigarettes,pack_of_cigarettes,pack__of__cigarettes.n.01,1,0.763,0.200,0.020,0.200,0.763,,0.140,,
464,desk_organizer,desk_organizer,magazine_rack.n.01,1,5.595,1.000,1.000,0.700,2.000,,0.900,,
465,cubicle,cubicle,carrel.n.02,1,10.040,100.000,200.000,100.000,10.040,,133.333,"S: (n) booth, cubicle, stall, kiosk (small area set off by walls for special use)",
466,desk_phone,desk_phone,desk_phone.n.01,1,9.253,1.000,1.000,1.000,6.000,,1.000,S: (n) desk phone (a telephone set that sits on a desk or table),
467,erlenmeyer_flask,erlenmeyer_flask,erlenmeyer_flask.n.01,1,0.633,0.500,0.200,0.250,0.633,,0.317,,
468,bed_screen,bed_screen,screen.n.09,1,26.308,20.000,10.000,15.000,16.000,,15.000,screen (partition consisting of a decorative frame or panel that serves to divide a space),
469,first_aid_kit,first_aid_kit,first-aid_kit.n.01,1,0.540,2.000,1.000,1.000,1.000,,1.333,,
470,hospital_bed,hospital_bed,hospital_bed.n.02,1,57.125,100.000,100.000,150.000,70.000,,116.667,,
471,gym_mat,gym_mat,mat.n.03,1,15.432,5.000,10.000,2.500,2.000,,5.833,,
472,globe,globe,globe.n.03,1,7.301,10.000,1.000,1.200,2.000,,4.067,,
473,pedestal,pedestal,base.n.08,1,5.595,50.000,20.000,15.000,,,28.333,,
474,tree,tree,tree.n.01,1,0.002,"1,000.000",500.000,900.000,,,800.000,,
475,ceiling_mounted_basketball_hoop,ceiling_mounted_basketball_hoop,basket.n.03,1,26.416,20.000,15.000,8.000,15.000,,14.333,,
476,pommel_horse,pommel_horse,pommel_horse.n.01,1,15.432,50.000,30.000,115.000,120.000,,65.000,,
477,parallel_bars,parallel_bars,parallel_bars.n.01,1,15.432,100.000,75.000,100.000,17.000,,91.667,,
478,scoreboard,scoreboard,scoreboard.n.01,1,6.633,50.000,50.000,10.000,6.633,,36.667,,
479,volleyball_net,volleyball_net,volleyball_net.n.01,1,37.400,2.000,11.300,3.000,7.000,,5.433,,
480,lab_table,lab_table,worktable.n.01,1,23.608,60.000,45.000,45.000,40.000,,50.000,,
